User_ID,Page_Visits,In_Links,Out_Links,Most_Visited_Link
user_121,179,4,11,link_33
user_122,262,1,15,link_19
user_123,84,4,11,link_5
user_124,298,4,7,link_33
user_125,248,9,15,link_44
user_126,405,3,4,link_48
user_127,226,10,15,link_6
user_128,500,12,13,link_41
user_129,273,0,7,link_32
user_130,472,12,14,link_16
user_131,224,14,9,link_8
user_132,235,2,14,link_41
user_133,107,13,1,link_49
user_134,454,10,0,link_37
user_135,121,4,3,link_36
user_136,124,4,5,link_20
user_137,250,6,0,link_26
user_138,315,4,1,link_27
user_139,492,2,5,link_7
user_140,335,13,11,link_35
user_141,307,6,13,link_46
user_142,173,12,3,link_45
user_143,235,14,5,link_18
user_144,215,4,9,link_26
user_145,441,13,4,link_34
user_146,396,0,12,link_13
user_147,56,5,3,link_17
user_148,174,2,11,link_23
user_149,233,0,15,link_7
user_150,187,3,6,link_42
user_151,240,14,4,link_1
user_152,486,2,3,link_2
user_153,54,6,5,link_19
user_154,392,5,5,link_13
user_155,183,12,13,link_20
user_156,219,6,10,link_39
user_157,104,11,4,link_35
user_158,465,0,9,link_49
user_159,67,0,11,link_18
user_160,294,4,13,link_5
user_161,112,10,6,link_29
user_162,468,1,1,link_28
user_163,186,9,12,link_47
user_164,324,14,8,link_44
user_165,141,7,7,link_29
user_166,183,12,12,link_15
user_167,268,9,15,link_34
user_168,369,4,0,link_50
user_169,263,2,6,link_48
user_170,187,7,5,link_26
user_171,144,1,13,link_20
user_172,346,2,5,link_9
user_173,111,3,0,link_21
user_174,253,14,7,link_6
user_175,484,1,10,link_38
user_176,496,8,12,link_21
user_177,313,5,4,link_43
user_178,358,6,6,link_15
user_179,141,13,15,link_24
user_180,357,4,10,link_16
user_181,386,0,13,link_38
user_182,229,9,8,link_30
user_183,409,6,4,link_39
user_184,97,10,10,link_45
user_185,137,0,2,link_7
user_186,275,2,8,link_40
user_187,464,1,8,link_12
user_188,245,6,5,link_34
user_189,175,6,15,link_48
user_190,309,14,8,link_10
user_191,407,13,11,link_32
user_192,237,5,6,link_11
user_193,144,2,7,link_40
user_194,392,4,2,link_24
user_195,56,1,3,link_11
user_196,140,3,3,link_5
user_197,340,9,8,link_10
user_198,329,10,11,link_3
user_199,287,4,0,link_36
user_200,440,7,5,link_15
user_201,231,5,11,link_7
user_202,264,13,14,link_29
user_203,223,11,14,link_29
user_204,147,15,12,link_28
user_205,202,2,7,link_49
user_206,117,8,13,link_18
user_207,115,7,11,link_13
user_208,133,0,7,link_9
user_209,409,9,2,link_45
user_210,112,9,0,link_46
user_211,127,7,9,link_2
user_212,396,0,11,link_13
user_213,239,0,0,link_11
user_214,385,3,12,link_33
user_215,124,6,10,link_9
user_216,296,9,14,link_2
user_217,195,9,3,link_37
user_218,267,6,15,link_27
user_219,106,4,7,link_46
user_220,307,4,1,link_7
user_221,70,14,12,link_5
user_222,126,2,2,link_12
user_223,378,3,4,link_22
user_224,255,12,9,link_14
user_225,264,0,14,link_8
user_226,173,14,3,link_34
user_227,399,3,5,link_37
user_228,203,11,6,link_16
user_229,254,5,15,link_27
user_230,315,13,11,link_19
user_231,275,2,8,link_29
user_232,416,10,10,link_6
user_233,449,5,0,link_47
user_234,181,4,3,link_12
user_235,184,5,3,link_32
user_236,323,3,11,link_49
user_237,442,5,7,link_13
user_238,413,8,10,link_16
user_239,172,12,2,link_17
user_240,362,13,5,link_34
user_241,270,2,5,link_33
user_242,359,6,4,link_13
user_243,323,8,10,link_7
user_244,484,9,1,link_36
user_245,260,14,7,link_6
user_246,409,11,3,link_44
user_247,141,8,13,link_4
user_248,293,9,2,link_16
user_249,387,11,3,link_14
user_250,177,11,7,link_44
user_251,482,12,7,link_39
user_252,287,14,8,link_18
user_253,491,13,5,link_27
user_254,485,5,9,link_9
user_255,299,4,7,link_27
user_256,228,6,14,link_47
user_257,380,5,0,link_47
user_258,236,13,9,link_24
user_259,325,14,2,link_15
user_260,216,1,1,link_31
user_261,475,1,13,link_20
user_262,259,0,13,link_46
user_263,391,10,13,link_18
user_264,56,2,10,link_15
user_265,402,4,1,link_48
user_266,418,7,15,link_32
user_267,219,7,6,link_50
user_268,422,7,8,link_16
user_269,97,14,4,link_13
user_270,345,7,12,link_46
user_271,361,6,8,link_33
user_272,92,14,2,link_30
user_273,341,15,15,link_2
user_274,429,12,2,link_40
user_275,146,15,9,link_26
user_276,135,7,14,link_23
user_277,482,3,0,link_18
user_278,275,8,6,link_18
user_279,180,6,2,link_23
user_280,427,2,7,link_19
user_281,319,6,10,link_22
user_282,248,0,13,link_41
user_283,109,4,8,link_8
user_284,211,8,2,link_4
user_285,198,10,12,link_45
user_286,411,9,4,link_39
user_287,139,8,11,link_48
user_288,214,4,13,link_42
user_289,255,9,0,link_38
user_290,138,2,7,link_41
user_291,186,7,2,link_50
user_292,307,7,9,link_24
user_293,119,0,0,link_26
user_294,198,10,12,link_33
user_295,311,11,6,link_6
user_296,447,12,1,link_38
user_297,287,12,3,link_6
user_298,276,11,11,link_34
user_299,292,9,1,link_45
user_300,380,11,9,link_6
user_301,56,6,10,link_43
user_302,87,12,15,link_1
user_303,449,0,10,link_6
user_304,174,7,10,link_50
user_305,155,13,11,link_24
user_306,72,3,13,link_13
user_307,369,13,10,link_10
user_308,396,0,12,link_5
user_309,398,9,15,link_28
user_310,191,6,15,link_43
user_311,173,1,10,link_26
user_312,448,10,11,link_6
user_313,263,11,6,link_47
user_314,121,0,5,link_46
user_315,243,1,4,link_34
user_316,490,7,4,link_10
user_317,418,1,3,link_30
user_318,427,12,5,link_31
user_319,138,1,6,link_4
user_320,473,15,9,link_19
user_321,457,8,1,link_39
user_322,486,0,7,link_12
user_323,153,6,4,link_48
user_324,210,7,10,link_45
user_325,336,2,6,link_43
user_326,471,15,2,link_24
user_327,353,6,4,link_27
user_328,364,13,1,link_23
user_329,54,1,13,link_4
user_330,405,5,15,link_35
user_331,346,11,3,link_49
user_332,142,15,6,link_37
user_333,368,11,9,link_23
user_334,127,3,2,link_13
user_335,180,12,1,link_43
user_336,293,4,11,link_7
user_337,205,15,2,link_3
user_338,377,8,5,link_43
user_339,296,8,2,link_34
user_340,84,9,13,link_14
user_341,457,6,3,link_49
user_342,200,14,4,link_17
user_343,84,8,7,link_13
user_344,409,9,9,link_41
user_345,378,10,11,link_45
user_346,345,11,10,link_2
user_347,133,13,7,link_12
user_348,445,3,8,link_38
user_349,181,7,3,link_42
user_350,51,10,7,link_39
user_351,417,10,1,link_9
user_352,56,6,9,link_15
user_353,368,4,0,link_41
user_354,292,8,10,link_27
user_355,339,8,11,link_32
user_356,493,0,6,link_46
user_357,245,13,9,link_27
user_358,191,2,6,link_4
user_359,89,4,8,link_28
user_360,131,9,4,link_2
user_361,231,12,13,link_1
user_362,57,4,9,link_6
user_363,86,0,14,link_4
user_364,146,0,13,link_31
user_365,484,2,3,link_47
user_366,152,11,4,link_45
user_367,178,13,13,link_38
user_368,387,7,11,link_18
user_369,182,15,6,link_38
user_370,87,10,4,link_29
user_371,458,15,6,link_34
user_372,85,0,14,link_29
user_373,127,15,10,link_26
user_374,213,1,15,link_30
user_375,300,11,2,link_29
user_376,250,5,12,link_14
user_377,493,0,4,link_46
user_378,332,12,14,link_21
user_379,235,0,2,link_8
user_380,102,14,6,link_30
user_381,463,9,2,link_32
user_382,496,13,7,link_33
user_383,142,2,14,link_20
user_384,476,12,4,link_44
user_385,348,12,6,link_36
user_386,263,2,1,link_44
user_387,326,12,3,link_45
user_388,356,1,10,link_15
user_389,314,1,2,link_40
user_390,204,7,8,link_39
user_391,77,14,0,link_12
user_392,108,12,9,link_20
user_393,219,7,13,link_12
user_394,94,14,0,link_13
user_395,467,4,14,link_26
user_396,472,7,8,link_30
user_397,108,3,4,link_9
user_398,318,3,4,link_24
user_399,319,15,5,link_30
user_400,304,15,4,link_49
user_401,273,3,5,link_50
user_402,174,2,12,link_32
user_403,407,10,7,link_12
user_404,449,6,8,link_23
user_405,137,4,8,link_9
user_406,365,14,2,link_7
user_407,168,3,10,link_37
user_408,87,13,6,link_24
user_409,353,0,3,link_49
user_410,432,3,7,link_23
user_411,56,13,0,link_1
user_412,477,7,14,link_48
user_413,115,14,9,link_18
user_414,158,10,4,link_3
user_415,476,12,14,link_12
user_416,50,9,8,link_27
user_417,326,4,5,link_31
user_418,68,10,10,link_4
user_419,118,14,14,link_24
user_420,117,5,13,link_30
user_421,56,15,5,link_27
user_422,71,10,13,link_35
user_423,250,15,2,link_3
user_424,264,10,6,link_25
user_425,94,0,7,link_11
user_426,314,1,5,link_14
user_427,215,14,2,link_26
user_428,85,11,0,link_3
user_429,499,13,1,link_13
user_430,289,15,13,link_10
user_431,197,6,2,link_12
user_432,152,4,5,link_6
user_433,193,1,4,link_28
user_434,219,2,11,link_26
user_435,348,7,10,link_25
user_436,337,8,14,link_3
user_437,137,3,0,link_12
user_438,390,7,6,link_15
user_439,94,8,8,link_17
user_440,375,0,9,link_6
user_441,117,1,3,link_26
user_442,165,12,5,link_44
user_443,417,13,11,link_23
user_444,382,7,4,link_11
user_445,345,6,6,link_37
user_446,398,3,7,link_5
user_447,169,1,11,link_2
user_448,160,8,11,link_31
user_449,319,8,11,link_47
user_450,468,13,2,link_13
user_451,192,0,11,link_2
user_452,279,7,3,link_43
user_453,224,9,8,link_34
user_454,456,14,1,link_12
user_455,344,3,15,link_1
user_456,326,0,12,link_50
user_457,164,6,10,link_20
user_458,73,11,13,link_19
user_459,152,6,9,link_32
user_460,220,0,15,link_12
user_461,154,9,13,link_47
user_462,374,6,1,link_8
user_463,391,1,12,link_29
user_464,428,7,2,link_33
user_465,282,13,15,link_47
user_466,419,3,14,link_27
user_467,354,14,3,link_37
user_468,70,11,11,link_36
user_469,253,6,12,link_15
user_470,306,9,7,link_12
user_471,472,12,14,link_25
user_472,434,1,6,link_2
user_473,366,14,5,link_16
user_474,380,10,2,link_16
user_475,69,4,7,link_8
user_476,237,13,12,link_39
user_477,244,6,0,link_35
user_478,196,7,10,link_18
user_479,284,4,2,link_34
user_480,125,15,15,link_19
user_481,500,12,1,link_4
user_482,296,8,10,link_44
user_483,402,6,12,link_23
user_484,285,13,0,link_13
user_485,392,2,2,link_4
user_486,380,0,9,link_37
user_487,363,1,10,link_30
user_488,164,6,11,link_42
user_489,335,9,13,link_48
user_490,128,13,7,link_30
user_491,215,10,12,link_20
user_492,352,12,4,link_36
user_493,111,15,1,link_20
user_494,287,4,12,link_46
user_495,234,7,8,link_4
user_496,65,6,8,link_35
user_497,305,9,8,link_8
user_498,339,13,1,link_31
user_499,374,15,12,link_5
user_500,292,13,11,link_9
